"","depth_mm","Ti"
"X662",73.6,14.5906735751295
"X663",73.7,14.0304568527919
"X664",73.8,14.33
"X665",73.9,14.1421319796954
"X666",74,13.3467336683417
"X667",74.1,14.0149253731343
"X668",74.2,15.45
"X669",74.3,16.3532338308458
"X670",74.4,16.4314720812183
"X671",74.5,18.12
"X672",74.6,18.135
"X673",74.7,20.4141414141414
"X674",74.8,19.7425742574257
"X675",74.9,21.35960591133
"X676",75,21.1435643564356
"X677",75.1,20.74
"X678",75.2,18.7376237623762
"X679",75.3,20.7326732673267
"X680",75.4,20.4679802955665
"X681",75.5,21.4851485148515
"X682",75.6,21.5862068965517
"X683",75.7,20.807881773399
"X684",75.8,22.1477832512315
"X685",75.9,22.9901477832512
"X686",76,22.1930693069307
"X687",76.1,21.0445544554455
"X688",76.2,19.0398009950249
"X689",76.3,17.681592039801
"X690",76.4,18.1542288557214
"X691",76.5,17.8190954773869
"X692",76.6,17.0765306122449
"X693",76.7,15.6010362694301
"X694",76.8,15.5340314136126
"X695",76.9,16.1473684210526
"X696",77,15.3052631578947
"X697",77.1,15.3675675675676
"X698",77.2,14.2204301075269
"X699",77.3,13.8010471204188
"X700",77.4,13.1
"X701",77.5,14.0386740331492
"X702",77.6,12.4157894736842
"X703",77.7,13.9840425531915
"X704",77.8,11.989247311828
"X705",77.9,10.2953367875648
"X706",78,10.2063492063492
"X707",78.1,9.83425414364641
"X708",78.2,9.78612716763006
"X709",78.3,10.4114285714286
"X710",78.4,8.87362637362637
"X711",78.5,6.76
"X712",78.6,6.90804597701149
"X713",78.7,6.80681818181818
"X714",78.8,6.51497005988024
"X715",78.9,7.01169590643275
"X716",79,7.58579881656805
"X717",79.1,8.11764705882353
"X718",79.2,6.53591160220994
"X719",79.3,8.54878048780488
"X720",79.4,9.16766467065868
"X721",79.5,8.93142857142857
"X722",79.6,7.36046511627907
"X723",79.7,6.37426900584795
"X724",79.8,6.58928571428571
"X725",79.9,7.02840909090909
"X726",80,7.72527472527473
"X727",80.1,8.06395348837209
"X728",80.2,9.03529411764706
"X729",80.3,8.03571428571429
"X730",80.4,7.33142857142857
"X731",80.5,7.38364779874214
"X732",80.6,6.07100591715976
"X733",80.7,6.40853658536585
"X734",80.8,5.80722891566265
"X735",80.9,6.85430463576159
"X736",81,6.21656050955414
"X737",81.1,5.5527950310559
"X738",81.2,6.20666666666667
"X739",81.3,6.51851851851852
"X740",81.4,6.18292682926829
"X741",81.5,6.17391304347826
"X742",81.6,6.74251497005988
"X743",81.7,7.54491017964072
"X744",81.8,7.47560975609756
"X745",81.9,7.38953488372093
"X746",82,7.16374269005848
"X747",82.1,7.97076023391813
"X748",82.2,7.88953488372093
"X749",82.3,9.1731843575419
"X750",82.4,8.53714285714286
"X751",82.5,8.29714285714286
"X752",82.6,8.67058823529412
"X753",82.7,9.22905027932961
"X754",82.8,9.19230769230769
"X755",82.9,10.6497175141243
"X756",83,11.6368715083799
"X757",83.1,12.2430939226519
"X758",83.2,13.1787709497207
"X759",83.3,12.9465240641711
"X760",83.4,14.5635359116022
"X761",83.5,13.4631578947368
"X762",83.6,14.015873015873
"X763",83.7,15.9020618556701
"X764",83.8,16.0203045685279
"X765",83.9,17.3415841584158
"X766",84,17.3969849246231
"X767",84.1,16.9452736318408
"X768",84.2,18.2673267326733
"X769",84.3,18.3030303030303
"X770",84.4,18.995
"X771",84.5,19.9257425742574
"X772",84.6,20.11
"X773",84.7,19.8177339901478
"X774",84.8,18.8514851485149
"X775",84.9,22.0049261083744
"X776",85,20.990099009901
"X777",85.1,21.4088669950739
"X778",85.2,21.0246305418719
"X779",85.3,21.8325123152709
"X780",85.4,22.0886699507389
"X781",85.5,22.4009900990099
"X782",85.6,22.9901477832512
"X783",85.7,22.1428571428571
"X784",85.8,23.1881188118812
"X785",85.9,21.8817733990148
"X786",86,21.3233830845771
"X787",86.1,21.9458128078818
"X788",86.2,22.0148514851485
"X789",86.3,22.2068965517241
"X790",86.4,24.4581280788177
"X791",86.5,23.7821782178218
"X792",86.6,24.8226600985222
"X793",86.7,24.2524752475248
"X794",86.8,24.1428571428571
"X795",86.9,23.7881773399015
"X796",87,23.9901477832512
"X797",87.1,23.6108374384236
"X798",87.2,23.8620689655172
"X799",87.3,23.0049261083744
"X800",87.4,22.8768472906404
"X801",87.5,24.4926108374384
"X802",87.6,22.4433497536946
"X803",87.7,22.1822660098522
"X804",87.8,22.6502463054187
"X805",87.9,22.2019704433498
"X806",88,21.807881773399
"X807",88.1,23.615763546798
"X808",88.2,22.5862068965517
"X809",88.3,23.1083743842365
"X810",88.4,21.2118226600985
"X811",88.5,21.2413793103448
"X812",88.6,23.1386138613861
"X813",88.7,21.4679802955665
"X814",88.8,21.320197044335
"X815",88.9,21.8817733990148
"X816",89,21.1576354679803
"X817",89.1,21.4577114427861
"X818",89.2,20.7980295566502
"X819",89.3,19.7093596059113
"X820",89.4,19.3399014778325
"X821",89.5,18.9405940594059
"X822",89.6,19.7114427860697
"X823",89.7,20.2537313432836
"X824",89.8,19.2835820895522
"X825",89.9,20.1356783919598
"X826",90,18.4378109452736
"X827",90.1,19.3514851485149
"X828",90.2,18.18407960199
"X829",90.3,17.2613065326633
"X830",90.4,16.6180904522613
"X831",90.5,15.6212121212121
"X832",90.6,16.3535353535354
"X833",90.7,17.1161616161616
"X834",90.8,16.0454545454545
"X835",90.9,15.7828282828283
"X836",91,15.4444444444444
"X837",91.1,15.6544502617801
"X838",91.2,14.2959183673469
"X839",91.3,14.2065217391304
"X840",91.4,11.2555555555556
"X841",91.5,12.3142857142857
"X842",91.6,10.5166666666667
"X843",91.7,10.3693181818182
"X844",91.8,8.57608695652174
"X845",91.9,7.40462427745665
"X846",92,7.55113636363636
"X847",92.1,7.88235294117647
"X848",92.2,7.77348066298343
"X849",92.3,6.28494623655914
"X850",92.4,7.43333333333333
"X851",92.5,6.30769230769231
"X852",92.6,7.28235294117647
"X853",92.7,5.83125
"X854",92.8,5.48484848484848
"X855",92.9,5.52694610778443
"X856",93,5.85245901639344
"X857",93.1,6.26704545454545
"X858",93.2,6.51764705882353
"X859",93.3,6.49397590361446
"X860",93.4,6.45061728395062
"X861",93.5,6.71165644171779
"X862",93.6,7.25862068965517
"X863",93.7,7.11494252873563
"X864",93.8,6.61676646706587
"X865",93.9,7.02958579881657
"X866",94,6.77401129943503
"X867",94.1,6.07954545454545
"X868",94.2,6.78034682080925
"X869",94.3,5.84210526315789
"X870",94.4,6.78857142857143
"X871",94.5,6.12921348314607
"X872",94.6,6.39444444444444
"X873",94.7,6.47428571428571
"X874",94.8,8.38333333333333
"X875",94.9,6.79289940828402
"X876",95,7.36627906976744
"X877",95.1,7.42696629213483
"X878",95.2,7.33714285714286
"X879",95.3,7.71666666666667
"X880",95.4,7.14673913043478
"X881",95.5,6.23428571428571
"X882",95.6,7.6264367816092
"X883",95.7,6.77717391304348
"X884",95.8,7.71808510638298
"X885",95.9,8.04972375690608
"X886",96,6.9608938547486
"X887",96.1,7.17415730337079
"X888",96.2,8
"X889",96.3,7.00561797752809
"X890",96.4,7.87790697674419
"X891",96.5,8.86170212765957
"X892",96.6,8.76165803108808
"X893",96.7,8.58549222797927
"X894",96.8,9.79558011049724
"X895",96.9,10.6720430107527
"X896",97,10.3924731182796
"X897",97.1,9.71584699453552
