"","depth_mm","Ca"
"2223",217.475,498.573913043478
"2224",217.575,496.730434782609
"2225",217.675,505.352173913043
"2226",217.775,497.5
"2227",217.875,499.35652173913
"2228",217.975,503.504347826087
"2229",218.075,495.621739130435
"2230",218.175,503.813043478261
"2231",218.275,515.608695652174
"2232",218.375,516.24347826087
"2233",218.475,515.865217391304
"2234",218.575,514.426086956522
"2235",218.675,522.382608695652
"2236",218.775,529.665217391304
"2237",218.875,518.769565217391
"2238",218.975,542.560869565217
"2239",219.075,532.947826086957
"2240",219.175,519.634782608696
"2241",219.275,525.569565217391
"2242",219.375,525.169565217391
"2243",219.475,516.039130434783
"2244",219.575,510.686956521739
"2245",219.675,532.152173913043
"2246",219.775,517.591304347826
"2247",219.875,516.64347826087
"2248",219.975,536.982608695652
"2249",220.075,515.54347826087
"2250",220.175,516.039301310044
"2251",220.275,522.25327510917
"2252",220.375,526.291304347826
"2253",220.475,544.816593886463
"2254",220.575,547.552173913043
"2255",220.675,540.986956521739
"2256",220.775,532.169565217391
"2257",220.875,535.860869565217
"2258",220.975,537.886956521739
"2259",221.075,526.821739130435
"2260",221.175,534.608695652174
"2261",221.275,544.213043478261
"2262",221.375,535.630434782609
"2263",221.475,524.326086956522
"2264",221.575,527.85652173913
"2265",221.675,534.091304347826
"2266",221.775,523.304347826087
"2267",221.875,524.517391304348
"2268",221.975,535.886956521739
"2269",222.075,516.647826086957
"2270",222.175,523.965217391304
"2271",222.275,539.691304347826
"2272",222.375,525.339130434783
"2273",222.475,526.192139737991
"2274",222.575,525.659388646288
"2275",222.675,543.385964912281
"2276",222.775,551.100877192982
"2277",222.875,543.231441048035
"2278",222.975,545.686956521739
"2279",223.075,536.786956521739
"2280",223.175,550.521739130435
"2281",223.275,556.213043478261
"2282",223.375,555.034782608696
"2283",223.475,567.469565217391
"2284",223.575,560.05652173913
"2285",223.675,547.695652173913
"2286",223.775,543.613043478261
"2287",223.875,545.513043478261
"2288",223.975,555.939130434783
"2289",224.075,556.691304347826
"2290",224.175,557.052173913043
"2291",224.275,566.85652173913
"2292",224.375,550.44347826087
"2293",224.475,555.534782608696
"2294",224.575,556.691304347826
"2295",224.675,550.721739130435
"2296",224.775,553.672489082969
"2297",224.875,561.978260869565
"2298",224.975,567.473913043478
"2299",225.075,553.617391304348
"2300",225.175,545.595652173913
"2301",225.275,547.069565217391
"2302",225.375,549.439130434783
"2303",225.475,553.808695652174
"2304",225.575,544.765217391304
"2305",225.675,559.739130434783
"2306",225.775,567.782608695652
"2307",225.875,544.4
"2308",225.975,537.891304347826
"2309",226.075,526.686956521739
"2310",226.175,530.226086956522
"2311",226.275,538.186956521739
