metres,GR,helper
232.41,7.289,2
232.5624,7.9946,2
232.7148,8.0727,2
232.8672,6.9085,2
233.0196,7.0445,2
233.172,7.3117,2
233.3244,7.5809,2
233.4768,7.4563,2
233.6292,7.3197,2
233.7816,7.5689,2
233.934,7.8316,2
234.0864,8.0283,2
234.2388,7.9644,2
234.3912,8.2079,2
234.5436,8.9586,2
234.696,9.8404,2
234.8484,10.4395,2
235.0008,10.8474,2
235.1532,10.9899,2
235.3056,10.9544,2
235.458,10.7128,2
235.6104,10.5864,2
235.7628,10.4586,2
235.9152,10.311,2
236.0676,10.2776,2
236.22,10.7782,2
236.3724,11.2774,2
236.5248,11.8121,2
236.6772,12.8549,2
236.8296,12.9478,2
236.982,12.1098,2
237.1344,11.5816,2
237.2868,12.2367,2
237.4392,12.0056,2
237.5916,11.2974,2
237.744,12.1329,2
237.8964,12.8329,2
238.0488,14.3702,2
238.2012,14.5404,2
238.3536,13.978,2
238.506,14.7689,2
238.6584,15.9726,2
238.8108,16.0146,2
238.9632,15.2182,2
239.1156,14.0935,2
239.268,13.2867,2
239.4204,13.9552,2
239.5728,14.9399,2
239.7252,15.0659,2
239.8776,14.204,2
240.03,14.4689,2
240.1824,14.8168,2
240.3348,16.2246,2
240.4872,16.4016,2
240.6396,15.873,2
240.792,14.7227,2
240.9444,14.2934,2
241.0968,15.6977,2
241.2492,16.1116,2
241.4016,15.9703,2
241.554,15.7965,2
241.7064,14.4837,2
241.8588,14.8861,2
242.0112,16.036,2
242.1636,17.2455,2
242.316,17.7397,2
242.4684,16.7082,2
242.6208,15.2917,2
242.7732,14.2816,2
242.9256,13.5692,2
243.078,13.7868,2
243.2304,13.9533,2
243.3828,13.93,2
243.5352,12.6033,2
243.6876,13.5696,2
243.84,14.6086,2
243.9924,15.3437,2
244.1448,14.1829,2
244.2972,14.6085,2
244.4496,15.0323,2
244.602,13.9273,2
244.7544,12.9793,2
244.9068,12.3137,2
245.0592,11.6156,2
245.2116,12.2486,2
245.364,13.4461,2
245.5164,13.9787,2
245.6688,15.0005,2
245.8212,15.8122,2
245.9736,16.2423,2
246.126,17.276,2
246.2784,17.5025,2
246.4308,16.3568,2
246.5832,15.9754,2
246.7356,15.6132,2
246.888,15.5132,2
247.0404,16.0931,2
247.1928,16.9263,2
247.3452,16.8098,2
247.4976,16.2881,2
247.65,16.6658,2
247.8024,16.1946,2
247.9548,14.8877,2
248.1072,14.241,2
248.2596,15.0004,2
248.412,15.7302,2
248.5644,15.9211,2
248.7168,14.9505,2
248.8692,14.0547,2
249.0216,13.832,2
249.174,13.0951,2
249.3264,11.7627,2
249.4788,10.8106,2
249.6312,10.6211,2
249.7836,10.7884,2
249.936,12.7811,2
250.0884,13.4526,2
250.2408,13.5299,2
250.3932,13.3188,2
250.5456,12.94,2
250.698,12.5163,2
250.8504,12.2759,2
251.0028,12.2304,2
251.1552,12.7353,2
251.3076,13.4519,2
251.46,13.677,2
251.6124,13.0547,2
251.7648,13.3991,2
251.9172,12.9054,2
252.0696,12.5232,2
252.222,12.7174,2
252.3744,11.47,2
252.5268,11.0385,2
252.6792,12.0278,2
252.8316,11.3362,2
252.984,10.8773,2
253.1364,10.7524,2
253.2888,11.3086,2
253.4412,11.8021,2
253.5936,11.5935,2
253.746,11.5922,2
253.8984,12.797,2
254.0508,13.3324,2
254.2032,13.5157,2
254.3556,13.9547,2
254.508,15.2103,2
254.6604,17.4256,2
254.8128,20.4478,2
