"","depth_mm","Si"
"X772",77.1,2.12946428571429
"X773",77.2,2.33333333333333
"X774",77.3,2.28571428571429
"X775",77.4,2.42794759825327
"X776",77.5,2.40869565217391
"X777",77.6,2.43103448275862
"X778",77.7,2.41777777777778
"X779",77.8,2.36909871244635
"X780",77.9,2.36170212765957
"X781",78,2.25751072961373
"X782",78.1,2.13004484304933
"X783",78.2,2.29535864978903
"X784",78.3,2.20600858369099
"X785",78.4,2.29694323144105
"X786",78.5,2.09210526315789
"X787",78.6,1.93913043478261
"X788",78.7,2.2801724137931
"X789",78.8,2.06837606837607
"X790",78.9,2.33777777777778
"X791",79,2.12121212121212
"X792",79.1,2.23770491803279
"X793",79.2,2.09502262443439
"X794",79.3,2.21576763485477
"X795",79.4,2.19665271966527
"X796",79.5,2.375
"X797",79.6,2.34361233480176
"X798",79.7,2.16589861751152
"X799",79.8,2.32051282051282
"X800",79.9,2.33193277310924
"X801",80,2.27477477477477
"X802",80.1,2.29875518672199
"X803",80.2,2.16239316239316
"X804",80.3,2.17982456140351
"X805",80.4,2.17316017316017
"X806",80.5,2.17446808510638
"X807",80.6,2.21428571428571
"X808",80.7,2.4304347826087
"X809",80.8,2.17826086956522
"X810",80.9,2.20524017467249
"X811",81,2.28070175438596
"X812",81.1,2.23893805309735
"X813",81.2,2.32579185520362
"X814",81.3,2.26293103448276
"X815",81.4,2.19915254237288
"X816",81.5,2.38053097345133
"X817",81.6,2.16
"X818",81.7,2.43037974683544
"X819",81.8,2.26495726495726
"X820",81.9,2.31759656652361
"X821",82,2.35146443514644
"X822",82.1,2.30901287553648
"X823",82.2,2.17647058823529
"X824",82.3,2.20089285714286
"X825",82.4,2.11946902654867
"X826",82.5,2.14224137931034
"X827",82.6,2.26446280991736
"X828",82.7,2.31877729257642
"X829",82.8,2.1931330472103
"X830",82.9,2.25446428571429
"X831",83,2.15546218487395
"X832",83.1,2.2914798206278
"X833",83.2,2.42677824267782
"X834",83.3,2.2196261682243
"X835",83.4,2.24782608695652
"X836",83.5,2.14601769911504
"X837",83.6,2.24894514767932
"X838",83.7,2.1858407079646
"X839",83.8,2.29694323144105
"X840",83.9,2.3030303030303
"X841",84,2.39224137931034
"X842",84.1,2.25345622119816
"X843",84.2,2.20089285714286
"X844",84.3,2.2995951417004
"X845",84.4,2.36974789915966
"X846",84.5,2.29707112970711
"X847",84.6,2.36363636363636
"X848",84.7,2.36324786324786
"X849",84.8,2.2648401826484
"X850",84.9,2.32547169811321
"X851",85,2.23809523809524
"X852",85.1,2.21465968586387
"X853",85.2,2.18518518518519
"X854",85.3,2.29207920792079
"X855",85.4,2.67555555555556
"X856",85.5,2.40191387559809
"X857",85.6,2.24170616113744
"X858",85.7,2.32407407407407
"X859",85.8,2.18617021276596
"X860",85.9,2.27777777777778
"X861",86,2.43367346938776
"X862",86.1,2.34418604651163
"X863",86.2,2.40609137055838
"X864",86.3,2.37777777777778
"X865",86.4,2.35204081632653
"X866",86.5,2.27053140096618
"X867",86.6,2.28
"X868",86.7,2.3348623853211
"X869",86.8,2.2780269058296
"X870",86.9,2.27111111111111
"X871",87,2.09302325581395
"X872",87.1,2.17647058823529
"X873",87.2,2.33484162895928
"X874",87.3,2.13274336283186
"X875",87.4,2.20502092050209
"X876",87.5,2.23660714285714
"X877",87.6,2.23144104803493
"X878",87.7,2.22321428571429
"X879",87.8,2.33047210300429
"X880",87.9,2.27678571428571
"X881",88,2.23144104803493
"X882",88.1,2.0468085106383
"X883",88.2,2.26859504132231
"X884",88.3,2.18672199170124
"X885",88.4,2.24017467248908
"X886",88.5,2.29338842975207
"X887",88.6,2.30252100840336
"X888",88.7,2.33067729083665
"X889",88.8,2.3109243697479
"X890",88.9,2.24894514767932
"X891",89,2.14574898785425
"X892",89.1,2.36947791164659
"X893",89.2,2.38492063492063
"X894",89.3,2.47791164658635
"X895",89.4,2.33196721311475
"X896",89.5,2.37301587301587
"X897",89.6,2.35496183206107
"X898",89.7,2.11111111111111
"X899",89.8,2.26104417670683
"X900",89.9,2.26819923371648
"X901",90,2.2319391634981
"X902",90.1,2.31800766283525
"X903",90.2,2.37218045112782
"X904",90.3,2.36781609195402
"X905",90.4,2.3544776119403
"X906",90.5,2.3579766536965
"X907",90.6,2.14230769230769
"X908",90.7,2.24814814814815
"X909",90.8,2.24719101123596
"X910",90.9,2.30970149253731
"X911",91,2.22627737226277
"X912",91.1,2.33707865168539
"X913",91.2,2.22388059701493
"X914",91.3,2.15658362989324
"X915",91.4,2.26545454545455
