"Measured Depth","Gamma-Ray log"
305.8668,13.08122
306.0192,12.82107
306.1716,12.05473
306.324,11.35431
306.4764,10.78788
306.6288,11.13018
306.7812,11.63471
306.9336,11.76586
307.086,11.55394
307.2384,12.55368
307.3907,12.26302
307.5432,11.17532
307.6956,11.80554
307.848,12.39491
308.0004,11.26551
308.1528,10.4607
308.3052,10.54404
308.4576,10.50754
308.61,10.18992
308.7624,10.26423
308.9148,10.73024
309.0672,11.46533
309.2195,11.27788
309.3719,11.1306
309.5244,11.4449
309.6768,11.7169
309.8292,12.22569
309.9816,12.73743
310.134,12.9967
310.2864,12.85946
310.4388,12.38065
310.5912,12.83591
310.7436,13.3851
310.896,13.53979
311.0484,13.5447
311.2007,13.34736
311.3531,12.77795
311.5056,12.76185
311.658,12.28539
311.8104,11.72838
311.9628,11.90477
312.1152,11.79215
312.2676,11.59599
312.42,11.3192
312.5724,11.46064
312.7248,11.74449
312.8772,12.61064
313.0296,13.2569
313.1819,13.63401
313.3344,13.51128
313.4868,13.44948
313.6392,13.40407
313.7916,13.46772
313.944,13.75399
314.0964,13.86865
314.2488,13.55766
314.4012,13.30486
314.5536,13.33159
314.706,14.14084
314.8584,14.89764
315.0108,15.22301
315.1631,15.43328
315.3156,15.08233
315.468,14.65626
315.6204,13.92395
315.7728,13.19792
315.9252,12.84151
316.0776,13.21289
316.23,13.55044
316.3824,14.17557
316.5348,14.47043
316.6872,13.98445
316.8396,14.47002
316.9919,14.13866
317.1443,13.78734
317.2968,13.30211
317.4492,13.3203
317.6016,12.74162
317.754,13.17696
317.9064,13.80917
318.0588,13.443
318.2112,13.04548
318.3636,12.93875
318.516,13.2061
318.6684,14.31328
318.8208,14.53775
318.9731,13.74473
319.1255,12.76607
319.278,12.68597
319.4304,12.74847
319.5828,12.64343
319.7352,12.78346
319.8876,13.04912
320.04,12.91341
320.1924,12.38029
320.3448,11.79894
320.4972,11.75031
320.6496,11.87625
320.802,11.71937
320.9543,11.12432
321.1068,10.21936
321.2592,9.998423
321.4116,9.921442
321.564,10.34409
321.7164,11.13099
321.8688,12.01993
322.0212,12.82517
322.1736,13.49011
322.326,13.91807
322.4784,14.02019
322.6308,13.98331
322.7832,13.90004
322.9355,13.46176
323.088,12.34161
323.2404,11.68815
323.3928,11.99974
323.5452,12.12021
323.6976,12.30354
323.85,12.72891
324.0024,13.48452
324.1548,14.78129
324.3072,15.78795
324.4596,15.98323
324.612,15.31561
324.7643,14.49982
324.9167,13.78686
325.0692,13.23185
325.2216,12.88441
325.374,12.60131
325.5264,12.48214
325.6788,12.52524
325.8312,12.48823
325.9836,12.66669
326.136,13.06479
326.2884,13.9829
326.4408,14.91695
326.5932,15.07347
326.7455,14.81899
326.8979,14.53136
327.0504,14.55503
327.2028,13.80712
327.3552,13.1982
327.5076,13.16133
327.66,13.20443
327.8124,13.24731
327.9648,13.35996
328.1172,13.46105
328.2696,13.83847
328.422,14.30365
328.5744,14.19251
328.7267,13.81937
328.8792,13.29355
329.0316,13.20246
329.184,13.82165
329.3364,14.35722
329.4888,14.01026
329.6412,13.58968
329.7936,13.04154
329.946,10.9775
330.0984,11.11636
330.2508,12.74466
330.4032,13.14058
330.5556,13.37596
330.7079,13.4868
330.8604,13.66335
331.0128,13.82191
331.1652,13.68685
331.3176,13.48622
331.47,13.61688
331.6224,13.90061
331.7748,13.42947
331.9272,12.73507
332.0796,12.04223
332.232,12.09498
332.3844,13.19957
332.5367,13.76615
332.6891,13.28523
332.8416,12.83833
332.994,13.3693
333.1464,13.40639
333.2988,13.29806
333.4512,13.78788
333.6036,15.04786
333.756,16.2424
333.9084,16.66455
334.0608,16.38411
334.2132,15.82233
334.3656,14.91583
334.5179,13.85253
334.6703,11.90238
334.8228,11.56882
334.9752,13.76511
335.1276,14.42761
335.28,15.04191
335.4324,15.29398
335.5848,14.89841
335.7372,15.51177
335.8896,15.72834
336.042,15.76267
336.1944,16.37184
336.3468,16.9386
336.4991,17.02661
336.6516,17.1599
336.804,17.02879
336.9564,16.62635
337.1088,16.28548
337.2612,16.07112
337.4136,15.60958
337.566,15.48842
337.7184,15.43835
337.8708,14.99009
338.0232,13.97205
338.1756,14.77158
338.328,15.99766
338.4803,16.60419
338.6328,16.87262
338.7852,16.9403
338.9376,15.8628
339.09,15.90089
339.2424,16.02102
339.3948,15.3776
339.5472,14.7815
339.6996,14.60336
339.852,14.73153
340.0044,14.77769
340.1568,14.79897
340.3091,14.45887
340.4615,13.82222
340.614,13.29315
340.7664,12.34768
340.9188,11.70054
341.0712,12.23976
341.2236,12.53049
341.376,12.9489
341.5284,13.31988
341.6808,13.63852
341.8332,13.57883
341.9856,13.13663
342.138,12.74891
342.2903,12.67999
342.4427,12.75364
342.5952,13.01142
342.7476,13.37724
342.9,13.82905
343.0524,14.03381
343.2048,14.14921
343.3572,13.88861
343.5096,13.51146
343.662,13.35856
343.8144,13.36378
343.9668,13.70241
344.1192,12.80358
344.2715,12.64956
344.424,13.18575
344.5764,13.16933
344.7288,12.77574
344.8812,12.75738
345.0336,12.61332
345.186,11.73879
345.3384,11.96058
345.4908,11.58603
345.6432,11.25823
345.7956,11.73461
345.948,13.09588
346.1004,14.04008
346.2527,14.6646
346.4052,13.95842
346.5576,13.75243
346.71,13.30956
346.8624,13.19318
347.0148,14.03442
347.1672,14.92031
347.3196,14.76114
347.472,14.51461
347.6244,13.59478
347.7768,13.94589
347.9292,13.07319
348.0815,12.25259
348.2339,12.48619
348.3864,12.7239
348.5388,12.4388
348.6912,12.1398
348.8436,12.4235
348.996,13.19493
349.1484,13.92605
349.3008,14.44171
349.4532,15.2646
349.6056,15.02597
349.758,14.33747
349.9104,13.79261
350.0627,13.12835
350.2151,12.08515
350.3676,12.03465
350.52,12.52429
350.6724,12.89583
350.8248,12.67286
350.9772,12.61144
351.1296,12.47136
351.282,12.86208
351.4344,13.09771
351.5868,12.87853
351.7392,12.07867
351.8916,11.82176
352.0439,11.78479
352.1964,11.67301
352.3488,11.93586
352.5012,12.10312
352.6536,12.17572
352.806,11.8562
352.9584,11.5491
353.1108,11.29847
353.2632,11.21951
353.4156,11.58944
353.568,11.9855
353.7204,12.036
353.8728,12.30308
354.0251,12.84648
354.1776,13.58913
354.33,14.12626
354.4824,14.55022
354.6348,14.91486
354.7872,15.44284
354.9396,15.8938
355.092,16.17842
355.2444,16.25426
355.3968,15.72577
355.5492,14.36192
355.7016,13.40371
355.854,12.83236
356.0063,12.82356
356.1588,13.83961
356.3112,14.53239
356.4636,14.82289
356.616,14.63242
356.7684,14.41135
356.9208,14.77738
357.0732,13.94837
357.2256,13.84814
357.378,13.19752
357.5304,12.21442
357.6828,12.04412
357.8351,12.00037
357.9875,12.16862
358.14,12.50796
358.2924,12.87429
358.4448,13.48789
358.5972,14.07577
358.7496,14.24874
358.902,13.96946
359.0544,13.59984
359.2068,13.40187
359.3592,13.8375
359.5116,14.32684
359.664,14.20191
359.8163,13.60729
359.9688,13.18657
360.1212,12.83765
360.2736,12.26616
360.426,12.39428
360.5784,14.11518
360.7308,14.44475
360.8832,14.32009
361.0356,13.66103
361.188,12.73587
361.3404,11.89894
361.4928,11.99861
361.6452,12.02072
361.7975,12.06603
361.95,13.04234
362.1024,13.82286
362.2548,14.37703
362.4072,14.82382
362.5596,15.51111
362.712,14.95971
362.8644,14.04022
363.0168,13.75281
363.1692,14.21295
363.3216,14.17348
363.474,13.83419
363.6264,13.83338
363.7787,14.24003
363.9312,14.79296
364.0836,15.41845
364.236,14.83747
364.3884,13.86626
