"","depth_mm","K"
"X829",90.3,35.8461538461538
"X830",90.4,35.4180327868852
"X831",90.5,36.5090909090909
"X832",90.6,37.4583333333333
"X833",90.7,40.75
"X834",90.8,34.9736842105263
"X835",90.9,39.4897959183673
"X836",91,32.2988505747126
"X837",91.1,25.436170212766
"X838",91.2,26.4950495049505
"X839",91.3,27.7532467532468
"X840",91.4,23.25
"X841",91.5,18.2
"X842",91.6,13.5535714285714
"X843",91.7,11.7096774193548
"X844",91.8,13.6
"X845",91.9,16.3809523809524
"X846",92,18.45
"X847",92.1,12.6818181818182
"X848",92.2,18.7142857142857
"X849",92.3,12.3846153846154
"X850",92.4,12.625
"X851",92.5,10.1
"X852",92.6,10.8888888888889
"X853",92.7,9.9
"X854",92.8,11
"X855",92.9,11.0909090909091
"X856",93,11.625
"X857",93.1,22.6666666666667
"X858",93.2,13.3333333333333
"X859",93.3,10
"X860",93.4,15.375
"X861",93.5,25.7
"X862",93.6,25.5454545454545
"X863",93.7,25.9090909090909
"X864",93.8,18.25
"X865",93.9,14
"X866",94,28.3333333333333
"X867",94.1,13.7368421052632
"X868",94.2,16.8461538461538
"X869",94.3,19.25
"X870",94.4,12.3333333333333
"X871",94.5,11.8
"X872",94.6,20.695652173913
"X873",94.7,17.3333333333333
"X874",94.8,17.9259259259259
"X875",94.9,16.9047619047619
"X876",95,15.625
"X877",95.1,16.8333333333333
"X878",95.2,18.8461538461538
"X879",95.3,21.2631578947368
"X880",95.4,20.32
"X881",95.5,17.8181818181818
"X882",95.6,20.4285714285714
"X883",95.7,21.3939393939394
"X884",95.8,23.6052631578947
"X885",95.9,18.2916666666667
"X886",96,21.8421052631579
"X887",96.1,21.3157894736842
"X888",96.2,19.1739130434783
"X889",96.3,24.695652173913
"X890",96.4,28.7777777777778
"X891",96.5,26.48
"X892",96.6,17.9024390243902
"X893",96.7,21.4146341463415
"X894",96.8,25.7826086956522
"X895",96.9,21.8
"X896",97,26.0444444444444
"X897",97.1,28.3272727272727
"X898",97.2,29.5510204081633
"X899",97.3,26.98
"X900",97.4,28.9038461538462
"X901",97.5,32.18
"X902",97.6,20.962962962963
"X903",97.7,25.1904761904762
"X904",97.8,25.2340425531915
"X905",97.9,25.5
"X906",98,21.5666666666667
"X907",98.1,26.2253521126761
"X908",98.2,26.3333333333333
"X909",98.3,30.6808510638298
"X910",98.4,29.75
"X911",98.5,28.8958333333333
"X912",98.6,28.2745098039216
"X913",98.7,26.2790697674419
"X914",98.8,29.6739130434783
"X915",98.9,32.5
"X916",99,31.9833333333333
"X917",99.1,38.4067796610169
"X918",99.2,36.46875
"X919",99.3,36.1194029850746
"X920",99.4,30.8088235294118
"X921",99.5,27.3194444444444
"X922",99.6,25.1267605633803
"X923",99.7,28.6323529411765
"X924",99.8,27.9047619047619
"X925",99.9,31.7066666666667
"X926",100,28.6987951807229
"X927",100.1,27.6
"X928",100.2,30.0727272727273
"X929",100.3,29.6231884057971
"X930",100.4,28
"X931",100.5,25.7678571428571
