"Depth..m.","Gamma.Ray"
328.1172,10.2073
328.2696,9.6959
328.422,9.5029
328.5744,9.7938
328.7268,10.3877
328.8792,10.9836
329.0316,11.9085
329.184,10.782
329.3364,9.9243
329.4888,9.4769
329.6412,9.0825
329.7936,9.2905
329.946,9.7604
330.0984,9.9176
330.2508,9.7858
330.4032,10.2689
330.5556,10.4869
330.708,9.8755
330.8604,9.6815
331.0128,10.4229
331.1652,10.9817
331.3176,10.861
331.47,11.126
331.6224,11.5965
331.7748,11.8297
331.9272,11.9302
332.0796,11.9511
332.232,11.7832
332.3844,11.4854
332.5368,10.9098
332.6892,10.1116
332.8416,9.5615
332.994,10.4818
333.1464,12.0294
333.2988,13.3315
333.4512,14.4613
333.6036,14.3911
333.756,13.0246
333.9084,11.6061
334.0608,11.231
334.2132,11.6062
334.3656,13.1497
334.518,13.1106
334.6704,12.6728
334.8228,11.5083
334.9752,10.651
335.1276,10.3773
335.28,10.7777
335.4324,11.5614
335.5848,12.0189
335.7372,12.2098
335.8896,12.4385
336.042,12.4697
336.1944,11.5656
336.3468,10.1989
336.4992,8.9017
336.6516,7.6971
336.804,6.7466
336.9564,7.9436
337.1088,8.713
337.2612,8.6899
337.4136,7.2641
337.566,6.0474
337.7184,5.4622
337.8708,5.9095
338.0232,6.6442
338.1756,7.566
338.328,8.0581
338.4804,8.2444
338.6328,8.2405
338.7852,8.1289
338.9376,8.1292
339.09,8.1877
339.2424,8.136
339.3948,7.8617
339.5472,7.7309
339.6996,7.7604
339.852,8.2055
340.0044,9.0911
340.1568,10.1669
340.3092,11.395
340.4616,12.2399
340.614,11.5027
340.7664,10.3519
340.9188,9.371
341.0712,8.2742
341.2236,7.1999
341.376,7.1352
341.5284,8.4883
341.6808,9.1042
341.8332,9.2135
341.9856,9.7585
342.138,10.889
342.2904,12.183
342.4428,12.3889
342.5952,10.3201
342.7476,8.1399
342.9,6.8069
343.0524,7.0259
343.2048,8.4505
343.3572,9.0752
343.5096,8.9099
343.662,8.5399
343.8144,8.0374
343.9668,7.6422
344.1192,8.5887
344.2716,7.5509
344.424,6.0758
344.5764,5.8725
344.7288,6.12
344.8812,5.9285
345.0336,5.9404
345.186,6.4341
345.3384,8.4467
345.4908,9.8171
345.6432,10.1428
345.7956,9.7859
345.948,8.4233
346.1004,7.2247
346.2528,6.9918
346.4052,7.5521
346.5576,7.5757
346.71,7.1594
346.8624,7.5963
347.0148,8.4951
347.1672,8.8375
347.3196,9.0227
347.472,9.4101
347.6244,10.4308
347.7768,11.4473
347.9292,10.9083
348.0816,10.1492
348.234,9.9628
348.3864,10.3199
348.5388,10.1692
348.6912,9.2948
348.8436,8.5692
348.996,8.2639
349.1484,7.9266
349.3008,7.3735
349.4532,8.533
349.6056,9.6844
349.758,10.6429
349.9104,11.2218
350.0628,10.846
350.2152,10.1509
350.3676,9.5183
